sound_id,valence,arousal,category,description
0057,5.6363636359999996,6.0454545450000001,Sound Effect,Suspense Film12
0058,3.6818181820000002,6.6363636359999996,Sound Effect,HorrorFilm21
0060,4.6666666670000003,4.8333333329999997,Electric sound,Electronic Sound38
0062,3.5909090909999999,5.5909090910000003,Sound Effect,Suspense Film13
0063,4.76,5.72,Sound Effect,Suspense Film14
0064,5.1363636359999996,3.9545454549999999,Sound Effect,Documentary1
0065,4.9583333329999997,5.125,Music,Tang Music1
0066,5.0454545450000001,5.2272727269999999,Music,Tang Music2
0068,6.0416666670000003,4.7916666670000003,Sound Effect,Suspense Film15
0069,4.8181818180000002,5.1818181819999998,Sound Effect,HorrorFilm22
0071,4.0909090910000003,5.2272727269999999,Sound Effect,Sci-Fi15
0075,2.5833333330000001,6.125,Sound Effect,HorrorFilm1
0076,5.4166666670000003,4.6666666670000003,Sound Effect,Suspense Film16
0077,5.0909090910000003,5,Sound Effect,HorrorFilm2
0078,4.3636363640000004,7.2272727269999999,Electric sound,Electronic Sound6
0079,4.6666666670000003,6.0833333329999997,Sound Effect,Documentary2
0080,4,5.7727272730000001,Sound Effect,Crux BGM4
0081,3.375,5.625,Electric sound,Sci-Fi16
0082,3.7727272730000001,6.3636363640000004,Sound Effect,HorrorFilm23
0083,4.9545454549999999,5.1818181819999998,Music,Ballade1
0084,5.7916666670000003,4.9166666670000003,Sound Effect,Suspense Film17
0085,4.5,4,Transport,Airplane2
0087,6.5909090910000003,7.7272727269999999,Electric sound,Electronic Sound7
0089,6.7727272730000001,4.6818181819999998,Sound Effect,Suspense Film18
0090,6.3181818180000002,5.7727272730000001,Music,Pops1
0093,3.6818181820000002,5.9090909089999997,Sound Effect,HorrorFilm24
0094,5.2083333329999997,6.0833333329999997,Sound Effect,Suspense Film19
0095,3.9090909090000001,5.9090909089999997,Sound Effect,Sci-Fi mystery1
0097,6.875,4,Music,Ballade2
0098,4.5199999999999996,4.88,Sound Effect,HorrorFilm8
0099,4.5599999999999996,5.32,Music,Ballade3
0100,3.636363636,6.7727272730000001,Sound Effect,HorrorFilm9
0102,4.8636363640000004,4.8181818180000002,Sound Effect,TragedyBGM3
0104,5.9545454549999999,3,Sound Effect,Documentary3
0105,6.2727272730000001,5.4090909089999997,Sound Effect,Documentary4
0107,4.92,6.28,Electric sound,Electronic Sound8
0108,5.7916666670000003,7.5,Electric sound,Electronic Sound9
0109,5,7.2916666670000003,Electric sound,Electronic Sound10
0112,3.3181818179999998,5.3181818180000002,Sound Effect,Documentary5
0113,5.1363636359999996,4.6363636359999996,Sound Effect,HorrorFilm3
0116,4.9583333329999997,5.6666666670000003,Sound Effect,Suspense Film20
0117,4.4545454549999999,4.9545454549999999,Sound Effect,HorrorFilm10
0118,4.4545454549999999,6.0909090910000003,Sound Effect,HorrorFilm11
0119,3.4090909090000001,5.8181818180000002,Sound Effect,HorrorFilm12
0121,3.9545454549999999,5.4090909089999997,Sound Effect,HorrorFilm4
0122,3.136363636,6.1363636359999996,Sound Effect,HorrorFilm13
0123,6.5,4.6666666670000003,Nature,Sea1
0124,5.2727272730000001,6.4090909089999997,Electric sound,Electronic Sound11
0125,3.6818181820000002,6.1818181819999998,Sound Effect,HorrorFilm5
0126,3.2272727269999999,5.5909090910000003,Sound Effect,HorrorFilm14
0127,2.4090909090000001,6.3636363640000004,Sound Effect,Sci-Fi17
0128,1.681818182,6.0454545450000001,Sound Effect,Sci-Fi18
0129,3.625,5.0833333329999997,Sound Effect,Suspense Film21
0129_b,4.6818181819999998,4.8181818180000002,Sound Effect,Suspense Film22
0130,4.2272727269999999,4.9090909089999997,Sound Effect,ThrillerBGM5
0131,3.875,6.3333333329999997,Sound Effect,DetectivefilmBGM2
0134,4.0454545450000001,5.6818181819999998,Sound Effect,HorrorFilm15
0135,4.12,4.92,Sound Effect,Sci-Fi19
0137,4.8181818180000002,4.6818181819999998,Sound Effect,Sci-Fi Mystery2
0138,4.5,4.9090909089999997,Sound Effect,Fantasy1
0139,3.375,5.9166666670000003,Daily Routine Sound,Machine14
0140,5.5,6,Sound Effect,Mystery BGM1
0141,4.7272727269999999,4.7727272730000001,Music,Ballade4
0142,3.04,6.16,Sound Effect,ThrillerBGM6
0143,4.2272727269999999,4.4090909089999997,Sound Effect,ThrillerBGM7
0145,4.1363636359999996,5.1363636359999996,Sound Effect,ThrillerBGM8
0146,3.7083333330000001,4.625,Sound Effect,ThrillerBGM9
0148,3.4166666669999999,6.875,Sound Effect,Mystery BGM2
0149,3.636363636,6.5,Nature,Wind1
0150,4.5454545450000001,6.0909090910000003,Sound Effect,Sci-Fi20
0151,4.6363636359999996,5.0909090910000003,Daily Routine Sound,Machine15
0152,3.48,5.32,Sound Effect,Fantasy2
0153,3.875,5.7083333329999997,Animals ,Scream2
0155,3.0454545450000001,7.3181818180000002,Electric sound,Electronic Sound12
0156,4.2727272730000001,7,Electric sound,Electronic Sound13
0157,4.3636363640000004,4.9545454549999999,Electric sound,Electronic Sound14
0159,3.4583333330000001,4.8333333329999997,Sound Effect,HorrorFilm16
0160,4.2,5.64,Sound Effect,ThrillerBGM10
0162,4.625,5.7083333329999997,Sound Effect,ThrillerBGM11
0163,3.375,5.6666666670000003,Sound Effect,Mystery BGM3
0164,4.3636363640000004,6.6818181819999998,Sound Effect,ThrillerBGM12
0166,3.5454545450000001,5.9090909089999997,Transport,Warcraft1
0167,2.863636364,6.6363636359999996,Transport,Warcraft2
0168,2.7727272730000001,6.9090909089999997,Sound Effect,Sci-Fi5
0169,2.4545454549999999,6.3181818180000002,Sound Effect,Sci-Fi6
0170,3.7916666669999999,5.75,Sound Effect,Suspense Film23
0171,3.863636364,5.0909090910000003,Sound Effect,Suspense Film24
0172,3.6,5.56,Electric sound,Electronic Sound15
0173,3.44,4.96,Transport,Warcraft3
0174,3.72,5.04,Sound Effect,Mystery BGM4
0175,4.375,5.25,Nature,SummerCountry1
0178,2.6666666669999999,6.3333333329999997,Sound Effect,ThrillerBGM13
0180,3.1818181820000002,6.2727272730000001,Electric sound,Electronic Sound16
0181,3.2916666669999999,5.6666666670000003,Daily Routine Sound,Machine1
0182,4.0416666670000003,5.4583333329999997,Electric sound,Electronic Sound17
0183,3.64,4.6399999999999997,Electric sound,Electronic Sound18
0185,3.44,5.52,Sound Effect,Mystery BGM5
0186,3.0454545450000001,4.4090909089999997,Sound Effect,ThrillerBGM14
0187,3.5909090909999999,5.3181818180000002,Sound Effect,Suspense Thriller4
0188,3.636363636,4.8636363640000004,Sound Effect,ThrillerBGM15
0189,3.363636364,5.3181818180000002,Sound Effect,Sci-Fi10
0190,3.6666666669999999,5.4166666670000003,Electric sound,Electronic Sound19
0191,4.25,4.5833333329999997,Electric sound,Electronic Sound20
0192,3.6818181820000002,5.6363636359999996,Sound Effect,ThrillerBGM16
0193,4.1666666670000003,6.1666666670000003,Daily Routine Sound,Mowerbackshaft
0194,4.0909090910000003,5.3636363640000004,Sound Effect,Sci-Fi7
0195,5.0909090910000003,4,Sound Effect,Sci-Fi mystery3
0196,4.1666666670000003,5.3333333329999997,Sound Effect,Sci-Fi1
0197,4.6818181819999998,6.2727272730000001,Sound Effect,Sci-Fi2
0198,3.625,5.2916666670000003,Sound Effect,Sci-Fi3
0199,3,6.2272727269999999,Sound Effect,Sci-Fi8
0200,6.5,3.375,Nature,Valley1
0201,5.92,4.4000000000000004,Nature,Valley2
0202,4.25,5.1666666670000003,Sound Effect,Sci-Fi9
0203,3.8181818179999998,5.5454545450000001,Electric sound,Electronic Sound21
0204,4.4166666670000003,5.0833333329999997,Sound Effect,ThrillerBGM17
0205,3.363636364,5.8636363640000004,Electric sound,Electronic Sound22
0206,3.7272727269999999,5.5454545450000001,Sound Effect,Sci-Fi11
0207,4.9166666670000003,5.875,Sound Effect,Mystery BGM6
0208,3.8333333330000001,6.125,Electric sound,Electronic Sound23
0209,2.2916666669999999,5.8333333329999997,Sound Effect,Thriller Suspense Film1
0211,4.5833333329999997,4.5416666670000003,Nature,Cave1
0212,4.5,4.8181818180000002,Sound Effect,Suspense Thriller19
0213,5.5909090910000003,4.8636363640000004,Music,Ballade5
0214,4.8181818180000002,4.5909090910000003,Sound Effect,Documentary6
0215,5.9545454549999999,3.1818181820000002,Music,LightMusic25
0217,2.5416666669999999,7.4166666670000003,Transport,Siren3
0219,5.1363636359999996,3.5909090909999999,Nature,Cave2
0221,4.1363636359999996,5.9090909089999997,Animals ,Eagle
0222,4.0833333329999997,5.5,Transport,Siren4
0224,2.5,6.2727272730000001,Daily Routine Sound,Machine Error1
0225,2.0909090909999999,7.5909090910000003,Daily Routine Sound,Machine Error2
0226,4.96,4.88,Animals ,Cat2
0227,4.7727272730000001,6.0454545450000001,Daily Routine Sound,Clock2
0233,4.5909090910000003,5.7727272730000001,Transport,Helicopter3
0234,5.1666666670000003,5.7083333329999997,Animals ,Cow
0235,4.6818181819999998,4.6363636359999996,Animals ,Crow
0237,5.8,4.92,Music,Symphony1
0238,4.6363636359999996,4.0454545450000001,Daily Routine Sound,Door
0240,2.25,6.75,Daily Routine Sound,Machine2
0241,3.7727272730000001,6.2727272730000001,Animals ,Elephant
0243,3.875,5.5416666670000003,Transport,Train2
0244,5.8181818180000002,5.6818181819999998,Music,Pops2
0246,3.5,6.2272727269999999,Breaking Sound,Gunslinging1
0247,5.3181818180000002,5.5909090910000003,Animals ,Horse
0248,6.2083333329999997,4.75,Music,LightMusic26
0249,6.2916666670000003,4.9583333329999997,Music,LightMusic27
0250,6.2272727269999999,4.1363636359999996,Music,LightMusic28
0252,5.9166666670000003,5.625,Music,VideoGame15
0253,6.8333333329999997,5.4583333329999997,Music,VideoGame16
0254,3.6818181820000002,5.8181818180000002,Animals ,Goat1
0255,5.5,5.9090909089999997,Transport,Train3
0256,4.8181818180000002,6.3181818180000002,Daily Routine Sound,Machine3
0257,4.8181818180000002,6.4545454549999999,Music,Pops3
0258,7.1666666670000003,2.9583333330000001,Animals ,Cicada1
0261,3.3181818179999998,6.5909090910000003,Daily Routine Sound,Working1
0263,6.5833333329999997,6,Daily Routine Sound,Bell1
0264,6,7.25,Music,Drum Set1
0266,4.125,5.625,Breaking Sound,Fencing1
0267,3.1818181820000002,6.3181818180000002,Breaking Sound,Machine Gun1
0271,4,7,Animals ,Wolf
0272,3.5454545450000001,5.3636363640000004,Electric sound,Electronic Sound3
0273,2.363636364,6.9545454549999999,Breaking Sound,Crash2
0275,3.9166666669999999,6.6666666670000003,People,Man laughing
0276,2.363636364,7.0454545450000001,People,WomanScream
0278,4.9090909089999997,5.4545454549999999,People,Wolking
0280,2.64,5.88,Daily Routine Sound,Machine4
0281,4.1666666670000003,4.875,Sound Effect,Effectsound1
0282,4.4545454549999999,6.0454545450000001,Transport,Car Engine
0283,3.636363636,6.1363636359999996,Transport,Braking
0284,4.1363636359999996,6.4545454549999999,Transport,Sportcar1
0285,3.0454545450000001,6.7727272730000001,Breaking Sound,Gunslinging2
0286,3.363636364,6.4090909089999997,Transport,Policecar
0287,5.7083333329999997,5.75,Transport,Train4
0288,4.9583333329999997,5.2916666670000003,Transport,Warcraft4
0289,4.875,5.2083333329999997,Transport,Helicopter4
0290,5.4166666670000003,6.125,Transport,Plain1
0291,2.7272727269999999,7.1363636359999996,Breaking Sound,Machine Gun2
0293,3.4090909090000001,6.1818181819999998,Breaking Sound,Bomb2
0294,5.1818181819999998,3.5909090909999999,Nature,Heavy Rain1
0295,3.0416666669999999,8.0416666669999994,Breaking Sound,Bomb3
0296,3.3181818179999998,6.6818181819999998,Nature,Wind2
0297,5.7916666670000003,4.4583333329999997,Nature,Sea Wave1
0298,6.4583333329999997,3.7083333330000001,Nature,Brook2
0299,6.5909090910000003,4.7272727269999999,Nature,MountainStream1
0300,2.5454545450000001,5.8181818180000002,Transport,Motorcycle1
0302,5.5416666670000003,5.2916666670000003,Daily Routine Sound,Ring-pull Can
0303,3.8181818179999998,6.3636363640000004,Daily Routine Sound,Machine Error3
0304,2.36,7.08,Daily Routine Sound,Machine Error4
0305,3.7083333330000001,4.8333333329999997,Sound Effect,Fantasy3
0306,3.9090909090000001,6.9090909089999997,Breaking Sound,Bomb4
0308,4.5833333329999997,5.5416666670000003,Transport,Plain2
0309,5.75,4.8333333329999997,Daily Routine Sound,Gale3
0310,4.9545454549999999,4.1818181819999998,Daily Routine Sound,Cupboard
0311,4.625,4.8333333329999997,People,Downfloor
0313,3.5,4.875,Sound Effect,Thriller Suspense Film2
0314,5.6818181819999998,4.9545454549999999,Electric sound,Electronic Sound24
0315,4.25,6.2916666670000003,Scenarios,Downtown
0316,4.4545454549999999,5.8636363640000004,Electric sound,Electronic Sound25
0317,3.72,5.68,Sound Effect,HorrorFilm6
0318,4.625,4.9166666670000003,Daily Routine Sound,Zipper1
0319,3.4166666669999999,5.75,Scenarios,Workshop2
0321,3.72,6.64,Daily Routine Sound,phone
0322,4.2272727269999999,6.6363636359999996,Transport,Sportcar2
0323,4.125,4.5416666670000003,Nature,Thunderstorm2
0324,4.5909090910000003,4.9545454549999999,Nature,Heavy Rain2
0325,4.3181818180000002,7.2272727269999999,Sound Effect,Documentary7
0327,4.875,6.0416666670000003,Transport,Airplane3
0328,3.625,6.2083333329999997,Daily Routine Sound,Open the Door5
0329,3.7916666669999999,7.375,Breaking Sound,Bomb5
0331,4.25,6.875,Daily Routine Sound,Bell2
0332,3.0454545450000001,7.4545454549999999,Nature,Thunder1
0333,6.6363636359999996,3.5909090909999999,Daily Routine Sound,Aeolian Bells1
0334,6.0909090910000003,3.7727272730000001,Nature,Drip water
0335,7.0416666670000003,3.7916666669999999,Animals ,Cicada2
0336,6.0454545450000001,4.0454545450000001,Nature,Cascade
0337,3.136363636,6.7727272730000001,Nature,Sea Wave2
0341,3.92,5.96,Daily Routine Sound,Whistling2
0342,4.32,4.5199999999999996,Nature,Thunderstorm3
0343,4.0454545450000001,7.8181818180000002,Electric sound,Electronic Sound26
0344,6.84,5.6,Sound Effect,Effectsound2
0346,7.375,4.6666666670000003,Animals ,Birds1
0349,3.24,5.56,Sound Effect,Thriller Suspense Film3
0350,6.6818181819999998,5.4090909089999997,Music,BGM12
0351,6,4.1666666670000003,Music,BGM13
0353,5.1363636359999996,3.6818181820000002,Sound Effect,Suspense Thriller5
0354,6.4090909089999997,5.7272727269999999,Music,Rock1
0355,1.818181818,6.5,People,Scared
0356,3.3181818179999998,6.8636363640000004,Daily Routine Sound,Machine Error5
0360,1.9166666670000001,7.9166666670000003,Electric sound,Electronic Sound27
0361,4.1363636359999996,5.8181818180000002,Daily Routine Sound,Alarm2
0362,3.5,7.0454545450000001,Daily Routine Sound,Spring2
0363,5.6666666670000003,3.2083333330000001,Nature,MountainStream2
0367,4.7272727269999999,4.3181818180000002,People,Ascend the Stairs
0369,3.4,6.84,Breaking Sound,Bomb6
0370,3.636363636,5.1818181819999998,Daily Routine Sound,Machine5
0372,4.0833333329999997,4.75,Animals ,Wings1
0373,4.08,5.88,Animals ,Wings2
0376,3.9545454549999999,4.7272727269999999,Daily Routine Sound,Machine6
0377,3.4583333330000001,6.8333333329999997,Breaking Sound,Crash3
0378,2.0454545450000001,7.1818181819999998,Daily Routine Sound,Signal1
0379,1.28,7.8,Transport,CarHorn
0381,3.5416666669999999,5.375,Electric sound,Electronic Sound28
0382,2.1818181820000002,6.0454545450000001,Electric sound,Electronic Sound29
0385,4.8,5.96,Daily Routine Sound,Windbell
0388,3.44,6.68,Daily Routine Sound,Bike Bells
0390,5.1363636359999996,5.2272727269999999,Daily Routine Sound,Bells1
0399,4.7916666670000003,4.0833333329999997,Daily Routine Sound,Bell3
0401,5.5,4.0909090910000003,Daily Routine Sound,Bells2
0402,5.375,5.5,Daily Routine Sound,Bells3
0405,4.9090909089999997,5.3636363640000004,Daily Routine Sound,Bells4
0407,5.5,4.8181818180000002,Daily Routine Sound,Bells5
0409,3.75,6.125,Daily Routine Sound,Bells6
0410,4.8181818180000002,4.9090909089999997,Daily Routine Sound,Bells7
0416,1.9545454550000001,7.1818181819999998,Daily Routine Sound,Telephong Bell
0417,4.6818181819999998,5.5454545450000001,Transport,Siren5
0419,7.8636363640000004,4.5454545450000001,Animals ,Birds2
0420,6.28,4.16,Nature,Birds4
0421,6.7727272730000001,5,Nature,Valley3
0422,6.2727272730000001,4.5454545450000001,Nature,Valley4
0423,3.68,5,Daily Routine Sound,Tape1
0426,4.5454545450000001,6.0454545450000001,Daily Routine Sound,Spring3
0431,3.72,7,Breaking Sound,Shooting1
0432,2.7272727269999999,6.2727272730000001,Breaking Sound,Shooting2
0433,2.9545454549999999,7,Breaking Sound,Shooting3
0434,2.875,6.2083333329999997,Breaking Sound,Shooting4
0437,2.4583333330000001,7,Breaking Sound,Shooting5
0439,2.9545454549999999,6.9545454549999999,Breaking Sound,Shooting6
0441,6.5,6.6363636359999996,Music,Tabor
0442,4.2727272730000001,4.5909090910000003,Daily Routine Sound,Temple Bell1
0443,3.1818181820000002,5.9545454549999999,Daily Routine Sound,Radio2
0444,5.1818181819999998,5,Breaking Sound,Fencing2
0445,5.8636363640000004,5.3181818180000002,Music,Piano1
0447,4.9545454549999999,5.3636363640000004,Electric sound,Electronic Sound30
0448,2.6818181820000002,7.8181818180000002,Daily Routine Sound,Machine Error6
0450,3.5416666669999999,7.0416666670000003,Breaking Sound,Shooting7
0451,5.6818181819999998,6.1363636359999996,Electric sound,Electronic Sound31
0452,2.2272727269999999,7.8181818180000002,Daily Routine Sound,Machine Error7
0453,4.4545454549999999,5.2727272730000001,Breaking Sound,Gunslinging3
0461,4.8333333329999997,3.9583333330000001,Nature,Spring1
0463,2.8181818179999998,6.0454545450000001,Nature,Thunderstorm4
0466,3.68,6.28,Daily Routine Sound,Clap
0468,3.2272727269999999,6.8181818180000002,Daily Routine Sound,Ring1
0469,3.7272727269999999,7,Electric sound,Electronic Sound32
0471,3.875,5.0833333329999997,Daily Routine Sound,Working2
0472,7.1363636359999996,5.2727272730000001,Animals ,Cat3
0480,4.5454545450000001,4.9090909089999997,Scenarios,Recess Bell
0481,4.5416666670000003,5.5,Daily Routine Sound,Doorbell2
0482,5.1666666670000003,3.75,Daily Routine Sound,Temple Bell2
0483,4.8181818180000002,4.8181818180000002,Daily Routine Sound,Temple Bell3
0485,3.875,5.75,Daily Routine Sound,Keys1
0489,3.4583333330000001,7.2916666670000003,Daily Routine Sound,Ring2
0490,3.4583333330000001,6.5,People,Child sing
0491,6.0416666670000003,5.7083333329999997,Daily Routine Sound,School Bell
0495,4.0909090910000003,6.1818181819999998,Daily Routine Sound,Ring3
0500,5.8333333329999997,6.125,Music,Harmonica
0503,6,4.5454545450000001,Music,LightMusic29
0507,3.625,6.1666666670000003,Daily Routine Sound,Head Mast
0511,5.2727272730000001,6.5,Animals ,Rooster1
0515,5.7727272730000001,6.9545454549999999,Animals ,Rooster2
0516,4.08,6.08,Animals ,Hens1
0518,5.4,6.36,Animals ,Crow as a Cook
0521,5,6.4090909089999997,Animals ,Hens2
0524,4.5909090910000003,5.4545454549999999,Daily Routine Sound,Lighter
0525,4.6818181819999998,4.3636363640000004,Daily Routine Sound,Keys2
0528,5.1363636359999996,3.6818181820000002,Daily Routine Sound,Drawer
0531,3.7916666669999999,5.5833333329999997,Daily Routine Sound,Clean Drawer
0533,3.6666666669999999,5.0833333329999997,Daily Routine Sound,Temple Bell4
0539,4.7727272730000001,4.4545454549999999,Daily Routine Sound,Play Pebble
0547,4.375,4.5,Daily Routine Sound,Bowl1
0550,2.4545454549999999,7.2272727269999999,Breaking Sound,Smashing
0551,3.3181818179999998,6.2727272730000001,Animals ,Barking2
0553,3.25,7.1666666670000003,Animals ,Hog
0555,4.6363636359999996,5.0454545450000001,Animals ,Barking3
0556,4.5,4.4583333329999997,Daily Routine Sound,Machine7
0558,4.4090909089999997,3.863636364,Daily Routine Sound,Close the Door1
0566,4.4090909089999997,4.9090909089999997,Daily Routine Sound,Open the Door1
0572,3.6818181820000002,6.4090909089999997,Daily Routine Sound,Rolling Mill
0576,2.9090909090000001,6.2272727269999999,Daily Routine Sound,Close the Door3
0577,4.3636363640000004,5.0909090910000003,Daily Routine Sound,Open the Door4
0581,4.2727272730000001,7.0909090910000003,Music,Gong1
0582,6.0454545450000001,4.6818181819999998,Music,Woodblocks
0583,3.8333333330000001,5.2083333329999997,Daily Routine Sound,Electricdrill1
0585,3.92,6.72,Electric sound,Electronic Sound33
0586,4.4545454549999999,5.9090909089999997,Electric sound,Electronic Sound34
0587,2.9583333330000001,7,Electric sound,Electronic Sound35
0593,5.7916666670000003,4.7083333329999997,Daily Routine Sound,Beat a Drum
0594,6.5,7.6818181819999998,Music,Pops4
0595,2.7272727269999999,6.6363636359999996,Daily Routine Sound,Electrowelding
0597,4.5416666670000003,6.4583333329999997,Sound Effect,Suspense Thriller6
0600,4.2727272730000001,5.7272727269999999,Daily Routine Sound,Machine8
0602,3.9545454549999999,6.6363636359999996,Breaking Sound,Gun
0603,2.4090909090000001,7.5,Nature,Thunder2
0604,2.52,7.32,Breaking Sound,Firearm
0605,3.5,7.3636363640000004,Breaking Sound,Crump
0606,3.125,7.1666666670000003,Breaking Sound,Bomb7
0607,2.9545454549999999,7.4090909089999997,Breaking Sound,Bomb8
0608,2.7727272730000001,6.0909090910000003,Transport,Auto Racing
0609,3.2272727269999999,5.5454545450000001,Animals ,Fly
0610,3.08,7.04,Electric sound,VideoGame1
0611,3.25,5.6666666670000003,Electric sound,VideoGame2
0616,6.125,7,Music,Trumpet1
0617,5.5454545450000001,6.8181818180000002,Music,Trumpet2
0620,6.0909090910000003,7.2272727269999999,Electric sound,VideoGame3
0621,4.4583333329999997,5.25,Nature,Rain4
0622,4.4090909089999997,4.1363636359999996,Nature,Spit
0624,3.7272727269999999,4.5454545450000001,Nature,Thunder3
0627,3.6666666669999999,7.5416666670000003,Daily Routine Sound,Bell4
0629,3.4583333330000001,7.0833333329999997,Electric sound,Electronic Sound36
0630,3.5,6.8636363640000004,Daily Routine Sound,Toilet2
0637,1.9545454550000001,7.1818181819999998,Daily Routine Sound,Machine9
0639,3.0454545450000001,5.9090909089999997,Daily Routine Sound,Cellophane Tape
0641,3.2916666669999999,7.4166666670000003,Electric sound,VideoGame4
0643,3.2727272730000001,6.3181818180000002,Breaking Sound,Machine Gun3
0644,3.5416666669999999,5.7916666670000003,Daily Routine Sound,Clean up the Room
0646,5,3.9545454549999999,Daily Routine Sound,Gale4
0647,4.9166666670000003,4.6666666670000003,Daily Routine Sound,Unlocking
0648,4,6.2727272730000001,Daily Routine Sound,Draw Lots
0652,3.8181818179999998,6.7272727269999999,Daily Routine Sound,Weights
0653,3.2727272730000001,6.3181818180000002,Sound Effect,Suspense Thriller7
0654,4.0909090910000003,4.6363636359999996,Transport,Motorcycle2
0655,5.2727272730000001,5.3181818180000002,Daily Routine Sound,Stone Strike
0657,3.8181818179999998,5.5,Daily Routine Sound,Plastic Bag
0658,2.68,6.36,Breaking Sound,Crash4
0659,5.1666666670000003,5.2083333329999997,Animals ,Goat2
0664,3.5454545450000001,4.5454545450000001,Transport,Motorcycle3
0665,3.9090909090000001,5.4545454549999999,Animals ,Tiger
0667,2.7083333330000001,7.875,Breaking Sound,Shooting8
0671,2.75,8.0833333330000006,Breaking Sound,Shooting9
0672,3.136363636,6.8636363640000004,Breaking Sound,Shooting10
0673,3.2916666669999999,6.875,Breaking Sound,Shooting11
0674,3.3181818179999998,6.2272727269999999,Breaking Sound,Shooting12
0677,4.25,4.5,Nature,Wind3
0679,1.636363636,7.0454545450000001,People,Vomit2
0681,4.2083333329999997,3.9166666669999999,Daily Routine Sound,Radio3
0682,6.7727272730000001,5.5,Music,Harp2
0683,4.1666666670000003,4.875,Breaking Sound,Shooting13
0688,4.7916666670000003,3.5416666669999999,Daily Routine Sound,Fire1
0689,4.2272727269999999,3.863636364,Daily Routine Sound,Wash the Dishes
0690,5.8181818180000002,4.5909090910000003,Nature,Forest1
0691,2.136363636,7.2727272730000001,Breaking Sound,Shooting14
0692,4.3636363640000004,4.9090909089999997,Daily Routine Sound,Collating1
0693,6.3181818180000002,4.9545454549999999,Daily Routine Sound,Knocking2
0694,3.2916666669999999,6.25,Breaking Sound,Glass Flying
0699,5.9090909089999997,3.5,Daily Routine Sound,Bowl2
0701,5.3333333329999997,3.9166666669999999,Daily Routine Sound,Bowl3
0703,5.875,4.7916666670000003,Animals ,Cicada3
0706,5.28,5.36,Nature,SummerCountry2
0707,3.7272727269999999,5.7727272730000001,Animals ,Barking1
0708,2.6818181820000002,4.5,People,Eatting2
0710,3.7727272730000001,5.3181818180000002,Transport,Motorcycle4
0713,5.88,6.04,Music,Xylophone
0716,5.0454545450000001,4.6818181819999998,Daily Routine Sound,Timepiece
0718,4.3181818180000002,6.0909090910000003,Daily Routine Sound,Washbasin
0719,2.5454545450000001,6.8636363640000004,Daily Routine Sound,Close the Door2
0721,3.9545454549999999,6.5454545450000001,Daily Routine Sound,Machine16
0722,4.2272727269999999,4.7727272730000001,Daily Routine Sound,Machine17
0723,2.3333333330000001,6.0833333329999997,Daily Routine Sound,Electric Motor1
0724,3.9583333330000001,7.375,Daily Routine Sound,Beating Gongs
0725,2.136363636,6.4090909089999997,Daily Routine Sound,Electric motor2
0726,3.1666666669999999,5.6666666670000003,Nature,Wind4
0727,3.125,5.375,Daily Routine Sound,Machine10
